,时间,千灵山,千灵山_root,相对偏差
12,2018-12-17 12:00:00,46.82762147361011,61.8,0.24227149719077493
13,2018-12-17 11:00:00,36.25318720458698,53.3,0.3198276321841092
14,2018-12-17 10:00:00,44.25492141904171,45.1,0.01873788427845441
30,2018-12-16 18:00:00,41.91062652777262,50.2,0.16512696159815501
31,2018-12-16 17:00:00,58.21994712238214,66.2,0.12054460540208255
32,2018-12-16 16:00:00,70.3674696217508,88.9,0.20846490864172335
33,2018-12-16 15:00:00,59.919152825017825,78.5,0.23669869012716147
34,2018-12-16 14:00:00,61.21908525252605,72.8,0.1590784992784883
35,2018-12-16 13:00:00,65.29484911404872,78.8,0.17138516352730052
36,2018-12-16 12:00:00,65.92061313044361,73.9,0.1079754650819539
37,2018-12-16 11:00:00,64.85611237328943,65.1,0.003746353712911826
38,2018-12-16 10:00:00,60.07374348473326,61.6,0.024776891481603
39,2018-12-16 09:00:00,45.32620560146942,57.6,0.21308670830782261
40,2018-12-16 08:00:00,42.71423541945097,56.7,0.24666251464813105
41,2018-12-16 07:00:00,50.00378193653858,58.3,0.14230219662884078
42,2018-12-16 06:00:00,53.71445108714301,63.0,0.14738966528344427
43,2018-12-16 05:00:00,74.52057040097766,65.5,0.13771863207599483
44,2018-12-16 04:00:00,83.90470904891528,65.4,0.28294662154304695
45,2018-12-16 03:00:00,97.23015913138859,59.8,0.6259223935014815
46,2018-12-16 02:00:00,101.4261225769551,104.7,0.031269125339492915
47,2018-12-16 01:00:00,72.48164182210728,116.7,0.3789062397420113
48,2018-12-16 00:00:00,87.12378792939283,111.0,0.21510100964510961
49,2018-12-15 23:00:00,101.28823532510202,117.3,0.13650268265045162
50,2018-12-15 22:00:00,100.79573062691671,114.0,0.11582692432529204
51,2018-12-15 21:00:00,99.8704808289433,117.7,0.1514827457184087
52,2018-12-15 20:00:00,101.9944811281101,110.2,0.07446024384655088
53,2018-12-15 19:00:00,102.12768545165845,110.4,0.07493038540164451
54,2018-12-15 18:00:00,104.67406150931517,117.3,0.1076380092982509
55,2018-12-15 17:00:00,101.40709667586782,116.4,0.12880501137570605
56,2018-12-15 16:00:00,102.34310463479042,115.0,0.11005995969747459
57,2018-12-15 15:00:00,98.76083291485976,111.3,0.11266098010009197
58,2018-12-15 14:00:00,91.91294443770806,104.1,0.11707065861951904
59,2018-12-15 13:00:00,87.32228219121944,97.7,0.10622024369273858
60,2018-12-15 12:00:00,88.84453226876568,96.6,0.08028434504383353
61,2018-12-15 11:00:00,90.52264388250225,105.0,0.13787958207140713
62,2018-12-15 10:00:00,87.27952190376506,99.6,0.12369957927946723
63,2018-12-15 09:00:00,88.26185827757162,98.3,0.10211741324952572
64,2018-12-15 08:00:00,89.20678227891754,97.3,0.08317798274493786
65,2018-12-15 07:00:00,88.26172706260441,106.0,0.16734219752259993
66,2018-12-15 06:00:00,96.13246453590828,104.6,0.08095158187468175
67,2018-12-15 05:00:00,96.88837248841149,101.8,0.04824781445568277
68,2018-12-15 04:00:00,88.82826481788064,98.4,0.09727373152560334
69,2018-12-15 03:00:00,87.01235881608483,100.7,0.13592493727820432
70,2018-12-15 02:00:00,86.8112601014863,97.3,0.10779794345851695
71,2018-12-15 01:00:00,87.3277774051409,101.0,0.13536854054315933
72,2018-12-15 00:00:00,90.34970347674893,102.1,0.11508615595740516
74,2018-12-14 22:00:00,84.95925606549824,94.8,0.1038053157647865
75,2018-12-14 21:00:00,88.32053636469956,81.8,0.07971315849265974
76,2018-12-14 20:00:00,98.69043699328618,104.9,0.0591950715606656
77,2018-12-14 19:00:00,112.8243569162258,104.6,0.07862673916085852
78,2018-12-14 18:00:00,116.70288761406565,120.2,0.029094113027740082
79,2018-12-14 17:00:00,119.56445763071946,145.6,0.17881553825055313
80,2018-12-14 16:00:00,117.06882645934496,131.7,0.111094711774146
81,2018-12-14 15:00:00,82.83219384250175,97.8,0.1530450527351559
82,2018-12-14 14:00:00,63.27501094160354,75.8,0.16523732267013796
83,2018-12-14 13:00:00,60.74855600392787,63.6,0.044834025095473816
84,2018-12-14 12:00:00,33.11587228561601,54.6,0.3934821925711354
85,2018-12-14 11:00:00,30.54187549551584,36.4,0.16093748638692745
86,2018-12-14 10:00:00,31.752557161176153,48.6,0.34665520244493514
87,2018-12-14 09:00:00,33.6392456633357,51.9,0.35184497758505395
88,2018-12-14 08:00:00,32.259007780974194,53.0,0.3913394758306756
89,2018-12-14 07:00:00,34.00534593966583,54.5,0.3760486983547554
90,2018-12-14 06:00:00,37.78855347293846,64.0,0.40955385198533656
91,2018-12-14 05:00:00,47.688344475898774,67.3,0.2914064713833763
92,2018-12-14 04:00:00,44.78691112711513,63.8,0.2980107973806405
93,2018-12-14 03:00:00,44.5883851136832,63.1,0.29336949106682725
94,2018-12-14 02:00:00,43.906174517359624,56.8,0.2270039697647953
95,2018-12-14 01:00:00,41.285967208059404,52.8,0.21806880287766275
96,2018-12-14 00:00:00,36.80157918918021,53.3,0.3095388519853619
97,2018-12-13 23:00:00,51.03101449331839,66.0,0.22680281070729716
98,2018-12-13 22:00:00,58.86067980688176,60.6,0.02870165335178612
99,2018-12-13 21:00:00,44.43938083156772,37.2,0.19460701160128263
100,2018-12-13 20:00:00,26.88569138542784,49.8,0.46012667900747306
101,2018-12-13 19:00:00,25.660308619991806,45.0,0.42977091955573765
102,2018-12-13 18:00:00,21.923787855102592,39.6,0.44636899355801535
122,2018-12-12 22:00:00,32.80303268632772,34.2,0.04084699747579779
123,2018-12-12 21:00:00,27.46733328769526,35.1,0.21745489208845412
124,2018-12-12 20:00:00,32.25119818796402,42.4,0.23935853330273532
125,2018-12-12 19:00:00,36.163116809219765,40.0,0.09592207976950587
126,2018-12-12 18:00:00,41.62096114282014,40.8,0.020121596637748665
127,2018-12-12 17:00:00,39.15047057391893,43.0,0.08952394014142022
128,2018-12-12 16:00:00,38.66394852138049,47.6,0.18773217392057795
129,2018-12-12 15:00:00,20.879935528825765,40.7,0.486979471036222
130,2018-12-12 14:00:00,14.746192293520567,34.2,0.5688247867391648
164,2018-12-11 04:00:00,55.8061338367111,52.8,0.056934352968013274
165,2018-12-11 03:00:00,70.45856836181571,70.8,0.004822480765314823
166,2018-12-11 02:00:00,74.25600686740617,78.0,0.04799991195633114
167,2018-12-11 01:00:00,69.61803511501451,75.4,0.07668388441625329
168,2018-12-11 00:00:00,73.429011942459,77.6,0.05374984610233242
169,2018-12-10 23:00:00,71.53800407741939,76.0,0.05871047266553438
170,2018-12-10 22:00:00,66.03777547477983,74.8,0.11714203910722143
171,2018-12-10 21:00:00,67.94233431415685,76.7,0.11418077817266167
172,2018-12-10 20:00:00,65.21897046320049,73.4,0.11145816807628764
174,2018-12-10 18:00:00,66.89940288356341,73.1,0.08482348996493275
175,2018-12-10 17:00:00,60.55602760317773,71.2,0.14949399433739144
176,2018-12-10 16:00:00,60.76511965812359,70.7,0.14052164557109498
177,2018-12-10 15:00:00,64.04458882884913,73.2,0.12507392310315402
178,2018-12-10 14:00:00,67.47897425572803,76.3,0.11560977384366926
179,2018-12-10 13:00:00,68.739866406364,75.8,0.09314160413767805
180,2018-12-10 12:00:00,71.86522426637305,73.4,0.020909751139331852
181,2018-12-10 11:00:00,69.71853455613305,71.6,0.026277450333337202
182,2018-12-10 10:00:00,72.8838129050146,74.1,0.016412781308844812
183,2018-12-10 09:00:00,76.22755270001113,75.0,0.01636736933348175
184,2018-12-10 08:00:00,67.91184647874518,74.8,0.09208761392051901
185,2018-12-10 07:00:00,65.88437555407877,72.3,0.08873616107774862
186,2018-12-10 06:00:00,62.350684195871295,70.0,0.10927594005898149
187,2018-12-10 05:00:00,54.38981773362938,60.4,0.09950632891342087
188,2018-12-10 04:00:00,56.204311563437244,61.6,0.08759234474939541
189,2018-12-10 03:00:00,58.810643312202885,71.0,0.17168108010981853
190,2018-12-10 02:00:00,69.19541586438874,77.4,0.1060023790130655
191,2018-12-10 01:00:00,73.48074624621091,88.0,0.16499151992942143
192,2018-12-10 00:00:00,111.84609434112485,106.1,0.05415734534519189
193,2018-12-09 23:00:00,98.00768328636447,96.4,0.016677212514154174
194,2018-12-09 22:00:00,83.54581237404257,90.8,0.07989193420657961
195,2018-12-09 21:00:00,88.21524127199369,115.2,0.23424269729172145
196,2018-12-09 20:00:00,102.00134755788928,118.1,0.1363137378671526
197,2018-12-09 19:00:00,109.94366392565558,91.7,0.19894944302786893
198,2018-12-09 18:00:00,86.96389621257764,93.1,0.06590874100346249
199,2018-12-09 17:00:00,61.023338346617834,74.3,0.17868992804013678
200,2018-12-09 16:00:00,55.85106028699192,66.8,0.1639062831288635
201,2018-12-09 15:00:00,47.65153844686082,60.1,0.20712914397902132
202,2018-12-09 14:00:00,46.23949039819818,54.0,0.1437131407741078
203,2018-12-09 13:00:00,41.86676598073924,44.7,0.06338331139285826
204,2018-12-09 12:00:00,32.468648176158425,42.4,0.23422999584532014
205,2018-12-09 11:00:00,33.94153833649124,44.8,0.24237637641760618
206,2018-12-09 10:00:00,34.14304682179488,41.8,0.18318069804318457
207,2018-12-09 09:00:00,29.558585883800696,34.4,0.14073878244765417
208,2018-12-09 08:00:00,28.018600816096335,38.3,0.26844384292176665
219,2018-12-08 21:00:00,28.036508926212527,30.2,0.07163877727773088
220,2018-12-08 20:00:00,27.343382506104906,31.8,0.14014520421053758
221,2018-12-08 19:00:00,28.295181227723123,30.1,0.0599607565540491
359,2018-12-03 01:00:00,111.78910969830918,50.3,1.2224475089127074
360,2018-12-03 00:00:00,155.61801993570276,150.3,0.03538270083634564
361,2018-12-02 23:00:00,153.43199815381496,155.6,0.013933173818669892
363,2018-12-02 21:00:00,139.38032017596709,141.4,0.014283449957800001
364,2018-12-02 20:00:00,134.74238419404185,138.2,0.025018927684212315
365,2018-12-02 19:00:00,153.2243107426237,152.0,0.008054675938313724
366,2018-12-02 18:00:00,166.53883667910884,179.0,0.06961543754687799
367,2018-12-02 17:00:00,221.77456025398965,180.4,0.22934900362521973
368,2018-12-02 16:00:00,232.43450484334173,186.9,0.2436303094881847
369,2018-12-02 15:00:00,248.90922612710236,193.7,0.28502439921064726
370,2018-12-02 14:00:00,247.5246642321917,197.0,0.2564703768131558
371,2018-12-02 13:00:00,231.38058347476934,187.4,0.2346882789475418
372,2018-12-02 12:00:00,216.39350239463377,188.2,0.14980607010963753
373,2018-12-02 11:00:00,199.74906645945796,182.9,0.09212174116707468
374,2018-12-02 10:00:00,191.93996912651326,180.3,0.06455889698565308
375,2018-12-02 09:00:00,182.45480673141952,195.8,0.06815726899172873
376,2018-12-02 08:00:00,179.91151125344442,187.8,0.0420047324097742
377,2018-12-02 07:00:00,177.43089253750765,185.0,0.040914094391850564
378,2018-12-02 06:00:00,175.7513397161656,184.7,0.04844970375654784
379,2018-12-02 05:00:00,176.09747543695318,192.4,0.08473245614889205
380,2018-12-02 04:00:00,204.6606362585748,199.0,0.02844540833454679
381,2018-12-02 03:00:00,203.68842969594624,200.0,0.0184421484797312
382,2018-12-02 02:00:00,218.1718556499282,204.4,0.06737698458868982
383,2018-12-02 01:00:00,222.6684153559714,228.6,0.025947439387701617
384,2018-12-02 00:00:00,224.3937142594284,230.5,0.02649147826712188
385,2018-12-01 23:00:00,156.09816078505096,232.8,0.3294752543597467
386,2018-12-01 22:00:00,226.27233453028785,262.4,0.1376816519425005
387,2018-12-01 21:00:00,192.3833435769771,255.6,0.24732651182716314
388,2018-12-01 20:00:00,194.14414538359682,272.7,0.28806694028750707
389,2018-12-01 19:00:00,210.10673652774014,256.7,0.18150862279805163
390,2018-12-01 18:00:00,197.80833834372922,231.2,0.14442760231951027
391,2018-12-01 17:00:00,162.71736419140177,209.9,0.2247862592119973
392,2018-12-01 16:00:00,142.96185606084117,185.2,0.2280677318529094
394,2018-12-01 14:00:00,134.43699530380195,53.4,1.517546728535617
397,2018-12-01 11:00:00,95.61614452377957,57.8,0.6542585557747331
398,2018-12-01 10:00:00,93.74030683679275,117.2,0.2001680304027922
409,2018-11-30 23:00:00,104.2268133018986,66.4,0.5696809232213643
410,2018-11-30 22:00:00,101.40249650087539,126.8,0.2002957689205411
411,2018-11-30 21:00:00,103.80804147383519,141.7,0.267409728483873
412,2018-11-30 20:00:00,107.29196217078882,148.8,0.2789518671317956
413,2018-11-30 19:00:00,107.97710580329468,154.4,0.30066641319109666
414,2018-11-30 18:00:00,108.0269180715963,148.4,0.2720558081428821
415,2018-11-30 17:00:00,110.71007036132042,152.7,0.27498316724741045
416,2018-11-30 16:00:00,106.19643861821244,152.6,0.3040862475870744
417,2018-11-30 15:00:00,100.75634059238926,149.2,0.3246894062172301
418,2018-11-30 14:00:00,95.43654962926139,146.0,0.34632500253930554
419,2018-11-30 13:00:00,97.34070632026152,141.2,0.31061822719361526
420,2018-11-30 12:00:00,87.20503408429732,66.7,0.3074218003642777
421,2018-11-30 11:00:00,87.40604013577678,110.4,0.2082786219585437
422,2018-11-30 10:00:00,93.55028053101455,120.1,0.22106344270595707
423,2018-11-30 09:00:00,92.97623434577038,115.2,0.1929146324151877
424,2018-11-30 08:00:00,86.25061504785134,116.6,0.2602863203443281
425,2018-11-30 07:00:00,83.09545185626462,118.4,0.29818030526803535
426,2018-11-30 06:00:00,80.77738998921114,113.8,0.2901811073004293
427,2018-11-30 05:00:00,78.61248955595656,111.1,0.29241683567995896
428,2018-11-30 04:00:00,78.8086651330795,106.8,0.2620911504393305
429,2018-11-30 03:00:00,78.67535336853865,122.1,0.35564821155987997
430,2018-11-30 02:00:00,75.61792147202414,115.6,0.34586573121086384
431,2018-11-30 01:00:00,72.84305982833686,101.1,0.27949495718756806
432,2018-11-30 00:00:00,68.28009934758708,61.1,0.11751390094250541
436,2018-11-29 20:00:00,59.60088054721106,116.6,0.48884322000676617
437,2018-11-29 19:00:00,61.607917882941614,34.4,0.7909278454343494
439,2018-11-29 17:00:00,59.364697203200805,55.8,0.06388346242295355
440,2018-11-29 16:00:00,62.5909863062868,99.2,0.36904247675114116
441,2018-11-29 15:00:00,63.21797919576596,105.8,0.4024765671477697
442,2018-11-29 14:00:00,56.14549615357865,89.1,0.3698597513627536
443,2018-11-29 13:00:00,49.222019918188295,44.8,0.0987058017452745
444,2018-11-29 12:00:00,48.52449579180197,64.8,0.25116518839811774
445,2018-11-29 11:00:00,54.18134800758817,72.8,0.25575071418148115
446,2018-11-29 10:00:00,39.53879512071423,71.2,0.4446798438101935
447,2018-11-29 09:00:00,35.542182086425,62.3,0.42949948496910106
448,2018-11-29 08:00:00,40.10848171525869,32.3,0.24174865991512987
464,2018-11-28 16:00:00,57.82055692975874,81.0,0.28616596383013904
465,2018-11-28 15:00:00,56.80647433341201,84.3,0.3261390945028231
466,2018-11-28 14:00:00,57.53306440152535,77.0,0.2528173454347357
467,2018-11-28 13:00:00,59.20754268253695,71.8,0.17538241389224296
468,2018-11-28 12:00:00,55.15780780198418,73.2,0.24647803549201946
