,时间,和义街道,和义街道_root,相对偏差
12,2018-12-17 12:00:00,41.74382864988137,36.4,0.14680847939234545
13,2018-12-17 11:00:00,45.821904778577455,38.9,0.17794099687859785
14,2018-12-17 10:00:00,35.541462484195925,31.6,0.1247298254492381
30,2018-12-16 18:00:00,140.67122697132442,107.6,0.3073534105141675
31,2018-12-16 17:00:00,52.82697386888061,38.7,0.36503808446719904
33,2018-12-16 15:00:00,70.19747109512123,59.1,0.1877744686145724
34,2018-12-16 14:00:00,84.83655496891299,62.1,0.3661280993383734
35,2018-12-16 13:00:00,95.67990572923166,68.5,0.39678694495228706
36,2018-12-16 12:00:00,113.73657722918735,92.8,0.22560966841796715
37,2018-12-16 11:00:00,133.1890134727179,117.8,0.1306367866953982
38,2018-12-16 10:00:00,134.60366923959333,117.4,0.1465389202691084
39,2018-12-16 09:00:00,141.19228704953076,122.2,0.1554196976230013
40,2018-12-16 08:00:00,152.29695087663657,130.9,0.16346028171609295
41,2018-12-16 07:00:00,152.71351534837885,145.6,0.04885656145864598
42,2018-12-16 06:00:00,166.5025401613645,159.8,0.04194330513995295
43,2018-12-16 05:00:00,165.21265397277728,156.8,0.053652129928426426
44,2018-12-16 04:00:00,168.92124044275627,162.4,0.04015542144554351
45,2018-12-16 03:00:00,176.29801357952437,169.6,0.03949300459625219
46,2018-12-16 02:00:00,178.20553773500518,176.7,0.008520304103028814
47,2018-12-16 01:00:00,175.96696575081666,173.9,0.011885944513034211
48,2018-12-16 00:00:00,186.7574956851673,187.4,0.003428518222159585
49,2018-12-15 23:00:00,186.88720921443934,185.2,0.009110200941897134
50,2018-12-15 22:00:00,178.35652501389325,169.7,0.05101075435411467
51,2018-12-15 21:00:00,170.3647247804318,165.5,0.02939410743463323
52,2018-12-15 20:00:00,167.0983228457369,157.3,0.06229067289088932
53,2018-12-15 19:00:00,168.42335028342436,167.0,0.008523055589367397
54,2018-12-15 18:00:00,126.81045894440244,114.0,0.11237244688072318
55,2018-12-15 17:00:00,96.89080756975198,83.4,0.161760282610935
56,2018-12-15 16:00:00,92.58812808428947,78.0,0.18702728313191622
57,2018-12-15 15:00:00,92.97188517775224,74.4,0.2496221126041967
58,2018-12-15 14:00:00,90.19117717471724,68.5,0.31665952079879184
59,2018-12-15 13:00:00,88.48865029339,66.8,0.3246803936136227
60,2018-12-15 12:00:00,91.04784241341903,70.5,0.2914587576371494
61,2018-12-15 11:00:00,91.82477141320449,71.1,0.291487642942398
62,2018-12-15 10:00:00,97.37140792493041,77.3,0.2596559886795655
63,2018-12-15 09:00:00,101.68213338166055,84.2,0.20762628719311813
64,2018-12-15 08:00:00,99.43782211556574,88.6,0.12232304870841697
65,2018-12-15 07:00:00,94.1453552005857,78.8,0.194738010159717
66,2018-12-15 06:00:00,87.99621111038425,70.8,0.24288433771729173
67,2018-12-15 05:00:00,84.29026468353459,67.6,0.24689740656116266
68,2018-12-15 04:00:00,85.94714947295958,64.9,0.3243012245448316
69,2018-12-15 03:00:00,83.01605470717007,63.2,0.3135451694172479
70,2018-12-15 02:00:00,77.60401534680487,61.5,0.261853908078128
71,2018-12-15 01:00:00,76.02139643662301,57.2,0.3290453922486539
72,2018-12-15 00:00:00,73.47653320232314,54.4,0.3506715662191754
74,2018-12-14 22:00:00,63.00265896217417,53.7,0.17323387266618567
75,2018-12-14 21:00:00,59.02546472721329,63.0,0.06308786147280492
76,2018-12-14 20:00:00,53.156104324154526,57.2,0.07069747685044539
77,2018-12-14 19:00:00,48.41322438232766,52.6,0.07959649463255397
78,2018-12-14 18:00:00,42.8515607055336,49.0,0.12547835294829388
79,2018-12-14 17:00:00,44.80423399882602,47.7,0.06070788262419249
80,2018-12-14 16:00:00,51.784689312444335,46.9,0.10415115804785367
81,2018-12-14 15:00:00,72.87548859169331,55.1,0.32260414866957005
82,2018-12-14 14:00:00,102.26585546466355,76.9,0.32985507756389515
83,2018-12-14 13:00:00,99.12385240744122,71.9,0.37863494307984996
84,2018-12-14 12:00:00,66.77253766714217,57.9,0.1532389925240445
85,2018-12-14 11:00:00,50.7522528583837,50.4,0.006989144015549606
86,2018-12-14 10:00:00,45.06531314256235,46.3,0.026667102752432927
87,2018-12-14 09:00:00,50.523731444236724,52.0,0.028389779918524545
88,2018-12-14 08:00:00,47.60222334906733,47.6,4.670901401951016e-05
89,2018-12-14 07:00:00,44.608172220805685,46.3,0.03654055678605427
90,2018-12-14 06:00:00,41.64363168998497,43.9,0.051397911389863944
91,2018-12-14 05:00:00,39.03260110554429,41.8,0.06620571517836626
92,2018-12-14 04:00:00,36.701457616675185,37.8,0.029061967812825718
93,2018-12-14 03:00:00,34.26647836926423,36.1,0.05079007287356715
94,2018-12-14 02:00:00,34.84366235984876,43.5,0.19899626758968375
95,2018-12-14 01:00:00,30.718859188167393,30.5,0.007175711087455505
97,2018-12-13 23:00:00,29.378270812980226,35.5,0.17244307569069786
98,2018-12-13 22:00:00,25.979779157032322,30.7,0.15375312192077126
118,2018-12-13 02:00:00,38.807588777244554,50.0,0.2238482244551089
119,2018-12-13 01:00:00,63.44796576089198,59.5,0.06635236572927701
120,2018-12-13 00:00:00,79.52906230854222,63.0,0.2623660683895591
121,2018-12-12 23:00:00,105.83224415692878,95.0,0.11402362270451348
122,2018-12-12 22:00:00,129.2763662129985,117.0,0.10492620694870522
123,2018-12-12 21:00:00,128.78288603461834,107.4,0.19909577313424895
124,2018-12-12 20:00:00,107.62845890459249,96.5,0.1153208176641709
125,2018-12-12 19:00:00,98.13865564995643,73.0,0.34436514588981415
126,2018-12-12 18:00:00,59.1313677730239,57.7,0.02480706712346436
127,2018-12-12 17:00:00,57.815699009921246,57.0,0.01431050894598678
128,2018-12-12 16:00:00,49.73761453036674,48.5,0.02551782536838642
129,2018-12-12 15:00:00,48.78953638713829,49.2,0.008342756358977878
130,2018-12-12 14:00:00,38.17878103470341,39.7,0.03831785806792419
138,2018-12-12 06:00:00,33.14478398967252,39.3,0.15662127252741678
139,2018-12-12 05:00:00,29.135652061188512,33.2,0.1224201186389003
141,2018-12-12 03:00:00,25.89872026031818,30.0,0.13670932465606073
163,2018-12-11 05:00:00,42.69457625699234,48.2,0.11422040960596806
164,2018-12-11 04:00:00,62.71885544835363,54.6,0.14869698623358293
165,2018-12-11 03:00:00,67.35383621552651,47.7,0.4120301093401784
166,2018-12-11 02:00:00,67.28642665165616,48.6,0.38449437554848054
167,2018-12-11 01:00:00,72.73920834377144,55.5,0.3106163665544403
168,2018-12-11 00:00:00,66.23398928650974,51.3,0.2911109022711451
169,2018-12-10 23:00:00,64.16878113042844,45.7,0.40413087812753695
170,2018-12-10 22:00:00,68.55183254139281,49.0,0.39901699064066964
171,2018-12-10 21:00:00,67.67692491022888,47.7,0.41880345723750256
172,2018-12-10 20:00:00,61.6711136743998,53.5,0.15273109671775323
174,2018-12-10 18:00:00,58.19817263388948,64.3,0.09489622653360062
175,2018-12-10 17:00:00,56.16930931693789,62.1,0.09550226542773124
176,2018-12-10 16:00:00,55.07838682851989,60.3,0.08659391660829367
177,2018-12-10 15:00:00,55.1794298850786,58.9,0.06316757410732429
178,2018-12-10 14:00:00,58.466285247291495,62.3,0.06153635237092299
179,2018-12-10 13:00:00,57.23536547927574,59.9,0.044484716539636995
180,2018-12-10 12:00:00,55.63125856740894,60.8,0.08501219461498447
181,2018-12-10 11:00:00,52.727210286549294,59.6,0.1153152636485018
182,2018-12-10 10:00:00,51.25479329926699,59.6,0.1400202466565941
183,2018-12-10 09:00:00,48.69879172829952,59.7,0.18427484542211867
184,2018-12-10 08:00:00,48.12579408184539,59.2,0.18706428915801707
185,2018-12-10 07:00:00,52.01888686797588,60.6,0.1416025269310911
186,2018-12-10 06:00:00,50.15726052726013,58.2,0.13819139987525558
187,2018-12-10 05:00:00,62.3606344241094,55.0,0.13382971680198907
188,2018-12-10 04:00:00,76.06522090823073,54.0,0.40861520200427276
189,2018-12-10 03:00:00,76.7167222356661,59.3,0.2937052653569326
190,2018-12-10 02:00:00,75.88960338788185,57.3,0.3244258880956693
191,2018-12-10 01:00:00,75.41146601673985,49.8,0.5142864661995955
192,2018-12-10 00:00:00,80.7069410072775,54.4,0.48358347439848365
193,2018-12-09 23:00:00,92.20047725520328,69.1,0.3343050254009159
194,2018-12-09 22:00:00,105.02731802187829,86.2,0.2184143622027643
195,2018-12-09 21:00:00,102.99657194112247,90.5,0.13808366785770684
196,2018-12-09 20:00:00,101.17910922952022,95.9,0.05504806287299495
197,2018-12-09 19:00:00,102.00600277679735,98.8,0.03244942081778692
198,2018-12-09 18:00:00,94.27567839392823,88.1,0.0700985061739868
199,2018-12-09 17:00:00,77.7331241079047,59.6,0.3042470487903473
200,2018-12-09 16:00:00,78.90443817574429,65.9,0.19733593589900278
201,2018-12-09 15:00:00,72.1857736861206,60.5,0.19315328406810905
202,2018-12-09 14:00:00,53.02152003371566,57.3,0.07466806223881915
203,2018-12-09 13:00:00,41.468635101126424,45.7,0.09259004155084417
206,2018-12-09 10:00:00,53.18694798237233,53.3,0.0021210509873858564
207,2018-12-09 09:00:00,70.64229319414275,66.6,0.06069509300514652
208,2018-12-09 08:00:00,71.6410633007341,54.0,0.32668635742100194
209,2018-12-09 07:00:00,56.26788043258724,47.3,0.18959578081579798
210,2018-12-09 06:00:00,36.08698565882539,44.6,0.19087476101288364
211,2018-12-09 05:00:00,33.3601189433759,46.3,0.2794790724972807
212,2018-12-09 04:00:00,31.79906440413837,45.0,0.29335412435248065
213,2018-12-09 03:00:00,34.32012544363545,43.8,0.2164354921544418
214,2018-12-09 02:00:00,29.84170589087146,45.2,0.33978526790107394
215,2018-12-09 01:00:00,27.676447476960846,60.5,0.5425380582320521
217,2018-12-08 23:00:00,35.71872887173695,50.0,0.285625422565261
218,2018-12-08 22:00:00,19.145540644672504,46.0,0.5837925946810325
219,2018-12-08 21:00:00,16.876018803735764,43.7,0.6138210800060466
287,2018-12-06 01:00:00,28.342041754733277,42.4,0.3315556189921397
288,2018-12-06 00:00:00,35.56857007984983,50.1,0.29004850140020305
289,2018-12-05 23:00:00,36.24196023899517,50.5,0.28233742100999665
290,2018-12-05 22:00:00,56.31671280440488,52.7,0.06862832645929556
291,2018-12-05 21:00:00,58.29037431907153,64.0,0.08921290126450732
292,2018-12-05 20:00:00,53.39353079017868,62.4,0.14433444246508523
293,2018-12-05 19:00:00,52.64831444930996,59.7,0.1181186859412068
294,2018-12-05 18:00:00,47.216846966339425,55.9,0.1553336857542142
295,2018-12-05 17:00:00,42.16659197760672,50.0,0.15666816044786558
296,2018-12-05 16:00:00,33.19393377143185,45.8,0.2752416207110949
297,2018-12-05 15:00:00,31.948185910048057,44.4,0.2804462632872059
298,2018-12-05 14:00:00,34.20649101992781,43.7,0.21724276842270462
299,2018-12-05 13:00:00,43.854974719409086,47.9,0.08444729187037397
300,2018-12-05 12:00:00,49.53867455132072,50.9,0.026745097223561515
301,2018-12-05 11:00:00,48.7549410119319,54.4,0.10376946669242833
302,2018-12-05 10:00:00,48.12055331897226,52.0,0.07460474386591802
304,2018-12-05 08:00:00,36.022118446484406,41.8,0.13822683142381798
305,2018-12-05 07:00:00,32.13344376902667,35.6,0.09737517502734078
306,2018-12-05 06:00:00,28.451548232586116,35.4,0.19628394823203058
307,2018-12-05 05:00:00,23.87283706094512,32.1,0.25629791087398385
308,2018-12-05 04:00:00,24.38481067872003,31.8,0.23318205412830098
357,2018-12-03 03:00:00,92.88756320220793,34.7,1.6768750202365394
358,2018-12-03 02:00:00,151.25055092135338,75.5,1.0033185552497137
359,2018-12-03 01:00:00,201.26744546314896,143.2,0.4054989208320459
360,2018-12-03 00:00:00,220.31796119368764,177.6,0.24052906077526826
361,2018-12-02 23:00:00,215.787317500816,168.0,0.284448318457238
363,2018-12-02 21:00:00,232.85217292673056,165.8,0.4044160007643579
364,2018-12-02 20:00:00,218.65076856231732,163.2,0.33977186619066996
365,2018-12-02 19:00:00,208.63502288419332,162.4,0.28469841677458935
366,2018-12-02 18:00:00,211.3045605706898,163.6,0.2915926685249988
367,2018-12-02 17:00:00,218.17407141156693,164.7,0.324675600555962
368,2018-12-02 16:00:00,213.72895665844476,161.6,0.3225801773418612
369,2018-12-02 15:00:00,206.70479269454282,158.0,0.30825818161103047
370,2018-12-02 14:00:00,219.68183082857567,166.0,0.32338452306370885
371,2018-12-02 13:00:00,197.2063398164247,153.4,0.28556935995061733
372,2018-12-02 12:00:00,183.96771522105394,143.7,0.280220704391468
373,2018-12-02 11:00:00,174.45608548609667,132.0,0.32163701125830807
374,2018-12-02 10:00:00,163.30193621950193,132.4,0.23339830981496917
375,2018-12-02 09:00:00,156.1483402531211,138.6,0.12661140153767025
376,2018-12-02 08:00:00,175.5517012000008,147.2,0.19260666576087504
377,2018-12-02 07:00:00,184.39274931790726,163.3,0.1291656418732838
378,2018-12-02 06:00:00,199.31027355911053,174.5,0.14217921810378525
379,2018-12-02 05:00:00,199.2601692945445,160.8,0.2391801573043812
380,2018-12-02 04:00:00,206.05165618290368,174.7,0.17945996670236805
381,2018-12-02 03:00:00,224.7780635591793,168.9,0.33083518981160026
382,2018-12-02 02:00:00,212.17959740010028,169.7,0.2503217289340029
383,2018-12-02 01:00:00,222.38579088980035,167.4,0.3284694796284369
384,2018-12-02 00:00:00,219.9994213555783,171.4,0.28354388188785473
385,2018-12-01 23:00:00,212.9379187489047,170.4,0.24963567340906515
386,2018-12-01 22:00:00,212.54301498425977,170.4,0.24731816305316762
387,2018-12-01 21:00:00,211.13097187371886,160.2,0.31792117274481196
388,2018-12-01 20:00:00,195.2055674849964,149.2,0.3083483075401905
389,2018-12-01 19:00:00,212.154876732098,150.1,0.41342356250564954
390,2018-12-01 18:00:00,214.1608870093594,157.3,0.36148052771366435
391,2018-12-01 17:00:00,235.4923729150356,179.5,0.3119352251534016
392,2018-12-01 16:00:00,227.53182302148124,178.5,0.27468808415395657
393,2018-12-01 15:00:00,206.37023111662253,151.0,0.3666902722955135
394,2018-12-01 14:00:00,206.69849794320317,148.3,0.39378623023063486
395,2018-12-01 13:00:00,199.20578877874763,149.0,0.3369516025419304
396,2018-12-01 12:00:00,189.1656694423306,137.7,0.3737521382885302
397,2018-12-01 11:00:00,136.18756494330412,101.8,0.33779533343127827
398,2018-12-01 10:00:00,119.54583058021596,92.1,0.2980003320327467
399,2018-12-01 09:00:00,114.81316823123503,101.5,0.13116421902694606
400,2018-12-01 08:00:00,108.23896382559212,81.5,0.3280854457127868
401,2018-12-01 07:00:00,108.91943085893064,86.6,0.25773014848649706
402,2018-12-01 06:00:00,123.08308166667133,96.4,0.27679545297376895
403,2018-12-01 05:00:00,136.22604075818418,102.7,0.32644635597063465
404,2018-12-01 04:00:00,158.24385429250415,129.4,0.22290459267777546
405,2018-12-01 03:00:00,171.37097617565183,138.5,0.2373355680552479
406,2018-12-01 02:00:00,176.43766462511908,137.9,0.2794609472452435
407,2018-12-01 01:00:00,179.67442009382796,153.0,0.1743426149923396
408,2018-12-01 00:00:00,175.6366004405962,149.5,0.17482675879997456
409,2018-11-30 23:00:00,164.89530213139747,152.1,0.08412427436816225
410,2018-11-30 22:00:00,164.0071022120344,148.2,0.1066606087181809
411,2018-11-30 21:00:00,157.68362238072632,148.6,0.06112801063745845
412,2018-11-30 20:00:00,155.80930231395692,136.8,0.13895688825991892
413,2018-11-30 19:00:00,153.94701988350621,127.2,0.21027531354957713
414,2018-11-30 18:00:00,144.77236707595998,118.2,0.2248085201011842
415,2018-11-30 17:00:00,137.79188732624968,109.3,0.2606760048147272
416,2018-11-30 16:00:00,131.92241821536834,113.3,0.1643637971347603
417,2018-11-30 15:00:00,128.933964010102,97.8,0.3183431902873414
