,时间,王佐镇,王佐镇_root,相对偏差
12,2018-12-17 12:00:00,59.19589476081711,60.4,0.019935517205014686
13,2018-12-17 11:00:00,58.237497600887274,51.8,0.12427601546114433
30,2018-12-16 18:00:00,143.4950098111055,99.8,0.4378257496102755
31,2018-12-16 17:00:00,134.92964459271047,94.5,0.42782692690698915
32,2018-12-16 16:00:00,95.3109803190292,87.0,0.09552850941412871
33,2018-12-16 15:00:00,81.55971972849201,73.6,0.10814836587625026
34,2018-12-16 14:00:00,79.44328841335472,64.6,0.2297722664605995
35,2018-12-16 13:00:00,123.23239937302658,98.4,0.25236178224620504
36,2018-12-16 12:00:00,109.5346423711308,95.3,0.14936665657010287
37,2018-12-16 11:00:00,80.695635492315,61.5,0.31212415434658547
38,2018-12-16 10:00:00,93.61653121939487,71.6,0.3074934527848447
39,2018-12-16 09:00:00,98.93022081594951,78.4,0.26186506142792737
40,2018-12-16 08:00:00,92.5295929436431,85.8,0.0784334841916445
41,2018-12-16 07:00:00,107.63151869979198,88.8,0.21206665202468453
42,2018-12-16 06:00:00,99.18072024719521,93.0,0.0664593574967227
43,2018-12-16 05:00:00,118.83620917394057,97.3,0.22133822378150644
44,2018-12-16 04:00:00,122.72726036850396,101.0,0.21512138978716794
45,2018-12-16 03:00:00,127.90474608608581,105.4,0.2135175150482524
46,2018-12-16 02:00:00,134.97798596584116,99.2,0.3606651811072697
47,2018-12-16 01:00:00,116.88415845148411,98.6,0.18543771248969695
48,2018-12-16 00:00:00,141.3108816699687,104.0,0.35875847759585283
49,2018-12-15 23:00:00,145.2022373638582,106.6,0.3621223017247486
50,2018-12-15 22:00:00,145.2615593996229,104.8,0.38608358205747056
51,2018-12-15 21:00:00,138.78709776524735,97.4,0.42491886822635877
52,2018-12-15 20:00:00,128.34463430661836,95.4,0.3453315965054335
53,2018-12-15 19:00:00,120.22581645364241,97.4,0.23435129829201645
54,2018-12-15 18:00:00,120.06793679591149,97.9,0.2264344922973594
55,2018-12-15 17:00:00,115.81655669690724,93.6,0.23735637496695777
56,2018-12-15 16:00:00,113.93568649176127,90.2,0.2631450830572203
57,2018-12-15 15:00:00,112.46244696689234,89.3,0.259377905564304
58,2018-12-15 14:00:00,92.41363364591615,86.1,0.07332907834978114
59,2018-12-15 13:00:00,101.23054860626122,86.2,0.17436831329769398
60,2018-12-15 12:00:00,95.88542455035119,80.2,0.19557885973006467
61,2018-12-15 11:00:00,100.76459779361562,77.5,0.30018835862729837
62,2018-12-15 10:00:00,111.70396973954732,83.1,0.3442114288754191
63,2018-12-15 09:00:00,105.47933933804919,85.6,0.2322352726407616
64,2018-12-15 08:00:00,108.26654745891011,84.2,0.2858259793219728
65,2018-12-15 07:00:00,95.77150543843854,82.1,0.1665225997373757
66,2018-12-15 06:00:00,90.50571163942885,85.4,0.05978585057879212
67,2018-12-15 05:00:00,111.3733181888451,88.2,0.2627360338871327
68,2018-12-15 04:00:00,104.49626037558775,92.4,0.1309119088267072
69,2018-12-15 03:00:00,106.18228089919462,93.1,0.1405185918280841
70,2018-12-15 02:00:00,110.33043843993804,94.0,0.1737280685099791
71,2018-12-15 01:00:00,120.0682715768304,94.6,0.2692206297762199
72,2018-12-15 00:00:00,118.43398999343435,100.9,0.1737759166841858
74,2018-12-14 22:00:00,124.17467631183351,111.1,0.11768385519202083
75,2018-12-14 21:00:00,122.21648892581445,112.9,0.08251983105238653
76,2018-12-14 20:00:00,127.3647873200828,114.6,0.11138557870927403
77,2018-12-14 19:00:00,130.7909187303906,118.7,0.10186115189882547
78,2018-12-14 18:00:00,132.70068122016679,116.4,0.1400402166680995
79,2018-12-14 17:00:00,122.32741850268268,116.2,0.05273165664959271
80,2018-12-14 16:00:00,121.77768064820862,121.5,0.002285437433815768
81,2018-12-14 15:00:00,100.67124917613036,97.4,0.033585720494151476
82,2018-12-14 14:00:00,85.0569696466263,70.2,0.21163774425393583
83,2018-12-14 13:00:00,68.5723181915317,56.3,0.21798078492951528
84,2018-12-14 12:00:00,44.61418941112805,43.1,0.03513200489856266
85,2018-12-14 11:00:00,30.490683360009523,30.4,0.0029830052634712075
86,2018-12-14 10:00:00,32.65901438469217,35.4,0.07742897218383696
87,2018-12-14 09:00:00,54.27877824590766,58.4,0.07056886565226608
88,2018-12-14 08:00:00,53.905745069543514,50.3,0.07168479263505997
89,2018-12-14 07:00:00,52.396461063999325,51.3,0.021373510019480083
90,2018-12-14 06:00:00,51.32962469021854,48.9,0.049685576487086686
91,2018-12-14 05:00:00,47.29807412793787,50.0,0.05403851744124253
92,2018-12-14 04:00:00,51.998243030339765,50.3,0.03376228688548246
93,2018-12-14 03:00:00,52.177470454293776,48.8,0.06921046012897088
94,2018-12-14 02:00:00,54.83432847621096,47.3,0.1592881284611198
95,2018-12-14 01:00:00,51.72506539242939,44.1,0.1729039771525939
96,2018-12-14 00:00:00,45.82020372597731,41.6,0.10144720495137756
97,2018-12-13 23:00:00,46.88008604601862,40.3,0.1632775693801147
98,2018-12-13 22:00:00,42.826541916714206,43.2,0.008644863039023083
99,2018-12-13 21:00:00,43.82696721023447,47.1,0.06949114203323843
100,2018-12-13 20:00:00,54.35123629610741,43.8,0.2408958058472012
101,2018-12-13 19:00:00,43.4825720505404,41.2,0.05540223423641735
102,2018-12-13 18:00:00,34.44226251855562,50.8,0.32200270632764516
103,2018-12-13 17:00:00,26.180571577364717,30.0,0.12731428075450946
120,2018-12-13 00:00:00,32.90013588092092,44.0,0.25226963906997907
121,2018-12-12 23:00:00,49.54161756726022,54.8,0.09595588380912007
122,2018-12-12 22:00:00,54.085191422439934,51.8,0.0441156645258675
123,2018-12-12 21:00:00,54.13799172799554,52.8,0.025340752424158022
124,2018-12-12 20:00:00,56.716918133778044,49.7,0.14118547552873323
125,2018-12-12 19:00:00,51.01434586330247,45.0,0.13365213029561038
126,2018-12-12 18:00:00,40.15494043735358,50.2,0.2001007881005263
127,2018-12-12 17:00:00,34.53432991017135,41.0,0.1576992704836256
128,2018-12-12 16:00:00,35.2775819449142,39.1,0.09776005255973907
129,2018-12-12 15:00:00,29.15646610998618,31.6,0.07732702183588042
130,2018-12-12 14:00:00,30.49689839209558,32.5,0.06163389562782828
163,2018-12-11 05:00:00,48.981816619649834,49.3,0.006454023942193981
164,2018-12-11 04:00:00,77.07266825362218,69.4,0.11055717944700542
165,2018-12-11 03:00:00,83.21790879251199,66.1,0.2589698758322541
166,2018-12-11 02:00:00,81.32662609851528,65.5,0.24162787936664545
167,2018-12-11 01:00:00,80.50251815445202,65.4,0.23092535404360875
168,2018-12-11 00:00:00,81.72169443413094,65.1,0.25532556734456135
169,2018-12-10 23:00:00,82.95028041115236,65.7,0.2625613456796402
170,2018-12-10 22:00:00,82.86447002233653,66.4,0.24795888587856213
171,2018-12-10 21:00:00,86.60826188510495,66.0,0.3122463921985599
172,2018-12-10 20:00:00,80.06711411284898,65.6,0.22053527611050291
174,2018-12-10 18:00:00,69.52203945370825,64.4,0.07953477412590435
175,2018-12-10 17:00:00,67.5555131443538,58.6,0.15282445638829
176,2018-12-10 16:00:00,68.87286933365277,57.6,0.19570953704258282
177,2018-12-10 15:00:00,65.3341432424168,57.9,0.12839625634571333
178,2018-12-10 14:00:00,67.02815031095969,59.5,0.12652353463797797
179,2018-12-10 13:00:00,71.62326961488702,62.6,0.1441416871387703
180,2018-12-10 12:00:00,70.64431958957803,63.3,0.11602400615447132
181,2018-12-10 11:00:00,65.01215544279177,62.0,0.048583152303093
182,2018-12-10 10:00:00,86.88744956107568,67.6,0.28531730119934456
183,2018-12-10 09:00:00,89.28780910838167,72.1,0.238388475844406
184,2018-12-10 08:00:00,93.42679856277645,68.8,0.3579476535287276
185,2018-12-10 07:00:00,92.83732055922005,61.0,0.5219232878560663
186,2018-12-10 06:00:00,92.4676386782467,68.5,0.34989253544885696
187,2018-12-10 05:00:00,101.67489537120497,76.1,0.3360695843785148
188,2018-12-10 04:00:00,104.24234274635705,75.3,0.38436046143900476
189,2018-12-10 03:00:00,86.51792336578431,76.1,0.13689781032568094
190,2018-12-10 02:00:00,108.13310248134474,76.2,0.41906958636935343
191,2018-12-10 01:00:00,102.64290279142338,76.0,0.35056451041346554
192,2018-12-10 00:00:00,116.98411507926308,75.8,0.543326056454658
193,2018-12-09 23:00:00,89.44962603118393,76.1,0.17542215546890844
194,2018-12-09 22:00:00,90.671613779484,83.7,0.08329287669634411
195,2018-12-09 21:00:00,104.64663265153133,95.7,0.0934862346032532
196,2018-12-09 20:00:00,123.88830140392915,99.1,0.25013422203763025
197,2018-12-09 19:00:00,107.06418046341952,98.6,0.08584361524766251
198,2018-12-09 18:00:00,111.07670179919714,91.4,0.21528120130412617
199,2018-12-09 17:00:00,80.12490596573102,69.6,0.1512199133007331
200,2018-12-09 16:00:00,64.43511178458445,57.4,0.12256292307638417
201,2018-12-09 15:00:00,63.347644076800215,58.6,0.08101781701024255
202,2018-12-09 14:00:00,50.42304938159884,51.7,0.02469923826694712
203,2018-12-09 13:00:00,48.84186796368901,48.4,0.009129503382004406
204,2018-12-09 12:00:00,42.86003368058004,42.8,0.001402656088318715
205,2018-12-09 11:00:00,38.691002589124345,41.9,0.07658705037889388
214,2018-12-09 02:00:00,17.481589350324903,31.1,0.43789101767444044
215,2018-12-09 01:00:00,17.53040326482083,39.3,0.5539337591648643
217,2018-12-08 23:00:00,39.5244302318617,49.3,0.19828741923201415
218,2018-12-08 22:00:00,17.252442578464397,50.1,0.6556398686933255
219,2018-12-08 21:00:00,21.321792940584952,38.8,0.4504692541086352
220,2018-12-08 20:00:00,18.43530342492996,35.9,0.4864817987484691
221,2018-12-08 19:00:00,16.831618822294324,33.6,0.49905896362219276
222,2018-12-08 18:00:00,19.668952552054616,35.0,0.43802992708415384
287,2018-12-06 01:00:00,79.88072970376915,48.8,0.6369001988477285
288,2018-12-06 00:00:00,75.86347405534788,53.6,0.415363321928132
289,2018-12-05 23:00:00,72.02636700464984,54.2,0.32889976023339185
290,2018-12-05 22:00:00,77.15015867004978,53.9,0.43135730371149866
291,2018-12-05 21:00:00,83.47164532522983,57.0,0.46441483026719
292,2018-12-05 20:00:00,83.40563014960962,53.5,0.5589837411141986
293,2018-12-05 19:00:00,76.08027945688275,51.4,0.48016107892768
294,2018-12-05 18:00:00,66.8697628779598,51.3,0.30350414966783246
295,2018-12-05 17:00:00,66.29299631906652,47.8,0.38688276818130796
296,2018-12-05 16:00:00,65.35334054357648,49.0,0.33374164374645876
297,2018-12-05 15:00:00,62.03185015963601,51.1,0.21393053149972616
298,2018-12-05 14:00:00,76.46694436305756,40.9,0.8696074416395493
299,2018-12-05 13:00:00,62.348153030429884,34.2,0.8230454102464877
300,2018-12-05 12:00:00,52.73813962888901,30.5,0.7291193320947216
356,2018-12-03 04:00:00,72.83066166245827,36.6,0.9899087885917559
357,2018-12-03 03:00:00,204.201313879956,89.8,1.2739567247211137
358,2018-12-03 02:00:00,204.3567187863794,90.6,1.255592922586969
359,2018-12-03 01:00:00,197.41727778711817,90.2,1.188661616265168
360,2018-12-03 00:00:00,209.14732721644398,95.1,1.19923582772286
361,2018-12-02 23:00:00,197.763164227092,97.7,1.0241879654768884
363,2018-12-02 21:00:00,224.68741357894993,106.4,1.1117238118322361
364,2018-12-02 20:00:00,240.72083065554443,119.6,1.0127159753808064
365,2018-12-02 19:00:00,237.2375981499867,123.6,0.9193980432846821
366,2018-12-02 18:00:00,257.3267615699539,130.2,0.9763960182024108
367,2018-12-02 17:00:00,272.8840970234803,132.7,1.056398621126453
368,2018-12-02 16:00:00,277.83973877790766,138.8,1.0017272246246947
369,2018-12-02 15:00:00,269.98448670420294,141.6,0.9066701038432412
370,2018-12-02 14:00:00,250.75745527172455,140.1,0.7898462189273702
371,2018-12-02 13:00:00,232.38658203989976,146.8,0.5830148640320146
372,2018-12-02 12:00:00,218.65392297119152,144.6,0.5121294811285722
373,2018-12-02 11:00:00,212.90388464055633,145.4,0.464263305643441
374,2018-12-02 10:00:00,208.4623719647216,141.3,0.4753175652138824
375,2018-12-02 09:00:00,193.47258849751412,128.5,0.5056232567899932
376,2018-12-02 08:00:00,195.53870635339877,133.3,0.46690702440659226
377,2018-12-02 07:00:00,208.1724756012062,133.6,0.5581772125838789
378,2018-12-02 06:00:00,214.60879067103318,139.0,0.5439481343239797
379,2018-12-02 05:00:00,221.2161350726051,144.5,0.5309075091529766
380,2018-12-02 04:00:00,257.35524316545224,147.0,0.7507159399010356
381,2018-12-02 03:00:00,238.65985275619406,150.6,0.5847267779295755
382,2018-12-02 02:00:00,265.2684387760951,150.8,0.759074527692938
383,2018-12-02 01:00:00,264.7705608029762,141.2,0.8751456147519563
384,2018-12-02 00:00:00,262.5283016183347,147.4,0.781060390897793
385,2018-12-01 23:00:00,259.7982030576846,148.7,0.7471298120893384
386,2018-12-01 22:00:00,264.94132053225957,150.3,0.7627499702745146
387,2018-12-01 21:00:00,266.3354292264391,148.8,0.7898886372744561
388,2018-12-01 20:00:00,278.34539348211234,153.0,0.819250937791584
389,2018-12-01 19:00:00,259.30347287515906,138.8,0.8681806403109441
390,2018-12-01 18:00:00,253.0608594046451,136.7,0.8512133094707032
391,2018-12-01 17:00:00,261.3887532494693,143.6,0.820255941848672
392,2018-12-01 16:00:00,230.1664597932466,126.4,0.8209371819085963
393,2018-12-01 15:00:00,200.44114560913766,112.7,0.7785372281201212
394,2018-12-01 14:00:00,177.63772084995537,101.4,0.7518512904334849
395,2018-12-01 13:00:00,151.7748798063669,88.5,0.7149703932922813
396,2018-12-01 12:00:00,136.97905879377856,75.4,0.8166983924904317
397,2018-12-01 11:00:00,126.57652448647464,71.6,0.7678285542803722
398,2018-12-01 10:00:00,138.6294215817578,80.1,0.7307043892853661
399,2018-12-01 09:00:00,135.21880332521104,71.5,0.8911720744784761
400,2018-12-01 08:00:00,94.21521004356978,65.6,0.4362074701763688
401,2018-12-01 07:00:00,101.4245615653813,72.5,0.3989594698673282
402,2018-12-01 06:00:00,129.65065915729528,71.8,0.8057194868704078
403,2018-12-01 05:00:00,129.75677208312058,74.0,0.753469893015143
404,2018-12-01 04:00:00,129.7872077897775,75.7,0.7144941583854361
405,2018-12-01 03:00:00,144.92124942523648,78.6,0.8437817993032632
406,2018-12-01 02:00:00,145.94549270776284,79.1,0.8450757611600865
407,2018-12-01 01:00:00,121.45078122262497,79.8,0.5219396143186087
408,2018-12-01 00:00:00,142.18863878229186,82.1,0.7318957220742006
409,2018-11-30 23:00:00,146.69188153276025,84.0,0.7463319230090506
410,2018-11-30 22:00:00,123.47871179938072,88.2,0.39998539455080173
411,2018-11-30 21:00:00,144.49027653651447,85.8,0.6840358570689333
412,2018-11-30 20:00:00,145.47972324977405,85.4,0.7035096399270966
413,2018-11-30 19:00:00,157.75199263106677,82.4,0.9144659299886743
414,2018-11-30 18:00:00,134.48967785489342,82.0,0.6401180226206514
415,2018-11-30 17:00:00,141.41272788272852,81.0,0.745836146700352
416,2018-11-30 16:00:00,146.6110946334905,86.4,0.6968876693691028
417,2018-11-30 15:00:00,143.35824191197514,82.5,0.7376756595390926
418,2018-11-30 14:00:00,134.12292277968186,75.0,0.7883056370624247
