,时间,长辛店镇,长辛店镇_root,相对偏差
12,2018-12-17 12:00:00,51.58786788722092,50.8,0.015509210378364693
13,2018-12-17 11:00:00,36.402930554348345,40.6,0.10337609472048416
14,2018-12-17 10:00:00,33.98295185791027,35.7,0.04809658661315771
30,2018-12-16 18:00:00,56.55188744909056,39.5,0.4316933531415331
31,2018-12-16 17:00:00,67.61891313569467,55.7,0.21398407784011966
32,2018-12-16 16:00:00,70.19869894053635,60.5,0.16030907339729497
33,2018-12-16 15:00:00,60.88770374906919,53.0,0.1488245990390413
34,2018-12-16 14:00:00,61.36076034835635,53.4,0.14907790914525004
35,2018-12-16 13:00:00,69.47701057063261,60.4,0.15028163196411617
36,2018-12-16 12:00:00,76.16227932108205,56.0,0.36004070216217954
37,2018-12-16 11:00:00,68.00448294707631,50.2,0.3546709750413607
38,2018-12-16 10:00:00,62.23163563369917,50.0,0.2446327126739834
39,2018-12-16 09:00:00,62.595977732867894,51.7,0.21075392133206752
40,2018-12-16 08:00:00,58.94258682174289,48.3,0.22034341245844505
41,2018-12-16 07:00:00,62.294491022041285,55.6,0.12040451478491516
42,2018-12-16 06:00:00,64.1888819092559,61.2,0.04883793969372377
43,2018-12-16 05:00:00,80.50707878488763,60.4,0.3328986553789342
44,2018-12-16 04:00:00,93.13184664520963,70.2,0.3266644821254933
45,2018-12-16 03:00:00,101.88157901586963,71.5,0.42491718903314174
46,2018-12-16 02:00:00,106.14567186058987,69.8,0.5207116312405426
47,2018-12-16 01:00:00,96.72308027724523,74.1,0.3053047270883298
48,2018-12-16 00:00:00,101.51447683687428,72.0,0.4099232894010317
49,2018-12-15 23:00:00,107.41548504884496,73.2,0.46742465913722614
50,2018-12-15 22:00:00,111.56677505344655,70.0,0.5938110721920935
51,2018-12-15 21:00:00,103.77093600317039,72.4,0.43330022103826493
52,2018-12-15 20:00:00,103.32243855251724,73.8,0.4000330427170358
53,2018-12-15 19:00:00,102.49408998926043,72.1,0.42155464617559557
54,2018-12-15 18:00:00,103.39100351916625,70.7,0.46239043167137545
55,2018-12-15 17:00:00,97.24774850223156,68.9,0.4114332148364521
56,2018-12-15 16:00:00,96.42713006030503,71.7,0.344869317438006
57,2018-12-15 15:00:00,92.49274626115333,72.9,0.26876195145614984
58,2018-12-15 14:00:00,87.03306468519273,70.8,0.22928057464961485
59,2018-12-15 13:00:00,82.29205257915028,65.3,0.2602152002932662
60,2018-12-15 12:00:00,83.53773477573498,64.8,0.2891625736996139
61,2018-12-15 11:00:00,88.6845261475134,62.7,0.4144262543463061
62,2018-12-15 10:00:00,88.8668721055383,62.5,0.4218699536886129
63,2018-12-15 09:00:00,88.68980560982394,62.8,0.41225805111184616
64,2018-12-15 08:00:00,87.95090154940799,62.5,0.4072144247905278
65,2018-12-15 07:00:00,87.28569807451878,61.8,0.4123899364808864
66,2018-12-15 06:00:00,85.36663064593358,61.8,0.381337065468181
67,2018-12-15 05:00:00,86.71723212628069,60.6,0.430977427826414
68,2018-12-15 04:00:00,85.86219159959813,60.6,0.416867848178187
69,2018-12-15 03:00:00,86.67780656929285,61.2,0.4163040289100139
70,2018-12-15 02:00:00,86.67983212046398,62.8,0.3802521038290444
71,2018-12-15 01:00:00,89.21689346548969,62.5,0.42747029544783505
72,2018-12-15 00:00:00,93.62076959903271,64.8,0.44476496294803575
74,2018-12-14 22:00:00,100.82614945258325,66.8,0.5093734947991505
75,2018-12-14 21:00:00,103.61998875136788,72.9,0.4213990226525086
76,2018-12-14 20:00:00,105.05522360414594,85.1,0.23449146420853048
77,2018-12-14 19:00:00,121.47775517867342,87.1,0.3946929412017615
78,2018-12-14 18:00:00,112.41419830691746,88.7,0.26735285577133544
79,2018-12-14 17:00:00,114.43932664238837,88.4,0.29456251857905386
80,2018-12-14 16:00:00,101.06379955802402,90.2,0.12044123678518862
81,2018-12-14 15:00:00,76.03354546677193,64.5,0.17881465839956476
82,2018-12-14 14:00:00,60.257970694313336,53.7,0.12212235929819987
83,2018-12-14 13:00:00,47.60121758609188,44.0,0.08184585422936085
84,2018-12-14 12:00:00,32.92451346512593,36.7,0.10287429250338063
92,2018-12-14 04:00:00,39.36966070449974,30.4,0.29505462843749164
93,2018-12-14 03:00:00,38.09565147216175,44.7,0.14774828921338376
94,2018-12-14 02:00:00,38.34281921905049,32.2,0.19077078320032567
95,2018-12-14 01:00:00,38.48319370852866,33.7,0.1419345314103459
97,2018-12-13 23:00:00,39.810099446949636,46.0,0.13456305550109487
98,2018-12-13 22:00:00,45.234681202090016,30.6,0.4782575556238567
100,2018-12-13 20:00:00,35.850904886138736,30.8,0.16399041838112774
101,2018-12-13 19:00:00,32.58214714782061,31.8,0.024595822258509835
122,2018-12-12 22:00:00,42.24640169158586,30.9,0.36719746574711526
123,2018-12-12 21:00:00,35.88419258143631,31.8,0.12843372897598454
124,2018-12-12 20:00:00,35.686355861515246,34.9,0.02253168657636811
125,2018-12-12 19:00:00,37.862056724300075,38.0,0.0036300862026296065
127,2018-12-12 17:00:00,32.20836443414379,31.2,0.03231937288922403
128,2018-12-12 16:00:00,29.720705277617178,31.5,0.056485546742311814
164,2018-12-11 04:00:00,53.27516944486656,43.9,0.21355739054365752
165,2018-12-11 03:00:00,68.50356420759786,54.8,0.25006504028463256
166,2018-12-11 02:00:00,69.35888179191801,54.4,0.2749794447043752
167,2018-12-11 01:00:00,65.51422118739754,54.7,0.19770057015351983
168,2018-12-11 00:00:00,67.54598786701197,55.3,0.22144643520817317
169,2018-12-10 23:00:00,65.77764638402876,56.6,0.1621492293998013
170,2018-12-10 22:00:00,64.50292329093942,53.8,0.19893909462712686
171,2018-12-10 21:00:00,67.90962973138166,50.4,0.34741328832106466
172,2018-12-10 20:00:00,68.57163764052206,50.2,0.3659688773012361
174,2018-12-10 18:00:00,62.48814672840935,49.5,0.2623868025941282
175,2018-12-10 17:00:00,57.45717066890089,48.8,0.1774010382971495
176,2018-12-10 16:00:00,54.25718476693771,49.5,0.09610474276641842
177,2018-12-10 15:00:00,56.0337171502307,52.5,0.06730889809963238
178,2018-12-10 14:00:00,59.15286825630628,53.0,0.11609185389257128
179,2018-12-10 13:00:00,60.75693855248686,55.0,0.1046716100452156
180,2018-12-10 12:00:00,61.414213742159674,49.9,0.2307457663759454
181,2018-12-10 11:00:00,60.88586433131063,47.1,0.29269351021890927
